test,nBasicBlocks,nConditionalJMPs,nInsts,nFPInsts,nIntInsts,nLoads,nStores,ratioFloatIntInsts,intrinsicFunctions,functions,target-size
bicg,62.0,16.0,489.0,10.0,24.0,137.0,68.0,0.417,3.0,24.0,9704
2mm,92.0,23.0,658.0,13.0,44.0,180.0,97.0,0.295,3.0,24.0,10636
3mm,104.0,26.0,737.0,12.0,50.0,203.0,106.0,0.24,3.0,24.0,11060
adi,72.0,18.0,814.0,49.0,62.0,245.0,88.0,0.79,3.0,24.0,11320
atax,60.0,15.0,441.0,10.0,21.0,119.0,63.0,0.476,3.0,24.0,10100
cholesky,92.0,23.0,593.0,14.0,31.0,172.0,73.0,0.452,3.0,25.0,12040
correlation,83.0,21.0,653.0,21.0,37.0,196.0,85.0,0.568,3.0,25.0,11004
covariance,72.0,18.0,510.0,13.0,27.0,142.0,71.0,0.481,3.0,24.0,9964
deriche,92.0,23.0,857.0,60.0,56.0,242.0,124.0,1.071,3.0,26.0,11324
doitgen,80.0,20.0,526.0,8.0,32.0,140.0,74.0,0.25,3.0,24.0,10812
durbin,52.0,13.0,395.0,15.0,22.0,107.0,55.0,0.682,3.0,24.0,9772
fdtd-2d,100.0,26.0,735.0,19.0,52.0,217.0,90.0,0.365,3.0,24.0,13412
floyd-warshall,63.0,18.0,407.0,5.0,27.0,111.0,47.0,0.185,2.0,23.0,9728
gemm,76.0,19.0,525.0,11.0,35.0,139.0,78.0,0.314,3.0,24.0,10696
gemver,68.0,17.0,665.0,23.0,38.0,192.0,94.0,0.605,3.0,24.0,11316
gesummv,48.0,12.0,466.0,12.0,23.0,132.0,64.0,0.522,3.0,24.0,9396
gramschmidt,86.0,22.0,619.0,13.0,31.0,181.0,80.0,0.419,3.0,25.0,12292
heat-3d,80.0,20.0,721.0,27.0,58.0,215.0,65.0,0.466,3.0,24.0,12036
jacobi-1d,48.0,12.0,362.0,15.0,28.0,95.0,49.0,0.536,2.0,23.0,9828
jacobi-2d,64.0,16.0,500.0,19.0,44.0,138.0,57.0,0.432,3.0,24.0,11008
lu,96.0,24.0,588.0,13.0,32.0,169.0,74.0,0.406,3.0,24.0,11780
ludcmp,112.0,28.0,781.0,21.0,41.0,235.0,104.0,0.512,3.0,24.0,13044
mvt,62.0,16.0,500.0,12.0,30.0,142.0,66.0,0.4,3.0,24.0,9692
nussinov,85.0,25.0,675.0,5.0,46.0,207.0,58.0,0.109,2.0,23.0,9732
seidel-2d,56.0,14.0,432.0,16.0,42.0,116.0,48.0,0.381,3.0,24.0,9364
symm,68.0,17.0,551.0,15.0,33.0,156.0,74.0,0.455,3.0,24.0,10740
syr2k,68.0,17.0,510.0,14.0,36.0,139.0,70.0,0.389,3.0,24.0,11512
syrk,68.0,17.0,457.0,10.0,29.0,120.0,66.0,0.345,3.0,24.0,10780
trisolv,48.0,12.0,380.0,10.0,18.0,103.0,52.0,0.556,3.0,24.0,9356
trmm,60.0,15.0,443.0,9.0,26.0,120.0,61.0,0.346,3.0,24.0,9704
